xflr5 v6.61
  alpha     CL        CD        
 ------- -------- --------- 
 -14.750  -0.3151   0.17437  
 -14.500  -0.3074   0.17142   
 -14.250  -0.3001   0.16860  
 -14.000  -0.2933   0.16586  
 -13.750  -0.2872   0.16327   
 -13.500  -0.2827   0.16119   
 -13.250  -0.2818   0.16017     
 -13.000  -0.2844   0.15984  
 -12.750  -0.2743   0.15460  
 -12.500  -0.2646   0.15015  
 -12.250  -0.2601   0.14748 
 -12.000  -0.2574   0.14518 
 -11.750  -0.2566   0.14315  
 -11.500  -0.2589   0.14170    
 -11.250  -0.2672   0.14151    
 -11.000  -0.2805   0.14201    
 -10.750  -0.2958   0.14261    
 -10.500  -0.3114   0.14303    
 -10.250  -0.2836   0.13377   
 -10.000  -0.2882   0.13224   
  -9.750  -0.2944   0.13093   
  -9.500  -0.3017   0.12975  
  -9.250  -0.3113   0.12892  
  -9.000  -0.3252   0.12889  
  -8.750  -0.3422   0.12923  
  -8.500  -0.3601   0.12951   
  -8.250  -0.3423   0.12293   
  -8.000  -0.3214   0.11838  
  -7.750  -0.3096   0.11519  
  -7.500  -0.3095   0.11398  
  -7.250  -0.3120   0.11317 
  -7.000  -0.2818   0.10543  
  -6.750  -0.2706   0.10236  
  -6.500  -0.2638   0.09981   
  -6.000  -0.1828   0.08862  
  -5.750  -0.1877   0.08756   
  -5.000  -0.1753   0.07970   
  -4.750  -0.1415   0.07529 
  -4.500  -0.1347   0.07301  
  -4.250  -0.1018   0.06913 
  -4.000  -0.0691   0.06597 
  -3.750  -0.0454   0.06382 
  -3.500  -0.0284   0.06050 
  -3.000   0.0331   0.05523  
  -1.250   0.3141   0.03807 
  -1.000   0.3484   0.03692 
  -0.750   0.3923   0.03505 
  -0.500   0.4267   0.03398 
  -0.250   0.4791   0.03234   
   0.000   0.5063   0.03185   
   0.250   0.5539   0.03064   
   0.500   0.5744   0.03068   
   0.750   0.6205   0.02954   
   1.250   0.6874   0.02840   
   1.500   0.7072   0.02686   
   1.750   0.7490   0.02627   
   2.000   0.7705   0.02664   
   2.250   0.8142   0.02586   
   2.500   0.8355   0.02618   
   3.000   0.9024   0.02550  
   3.250   0.9264   0.02562  
   3.750   0.9952   0.02471  
   4.000   1.0211   0.02467   
   4.250   1.0488   0.02453   
   4.500   1.0786   0.02429   
   4.750   1.1112   0.02391   
   5.000   1.1459   0.02344  
   5.250   1.1769   0.02319  
   5.500   1.2027   0.02322  
   5.750   1.2286   0.02328  
   6.000   1.2552   0.02336  
   6.250   1.2818   0.02350  
   6.500   1.3084   0.02368  
   6.750   1.3355   0.02367  
   7.000   1.3603   0.02352  
   7.250   1.3807   0.02356  
   7.500   1.4042   0.02371  
   7.750   1.4210   0.02414 
   8.000   1.4394   0.02446 
   8.250   1.4588   0.02481  
   8.500   1.4721   0.02537  
   8.750   1.4856   0.02589  
   9.000   1.5000   0.02641  
   9.250   1.5045   0.02709  
   9.500   1.5080   0.02782   
   9.750   1.5072   0.02883   
  10.000   1.5063   0.02997  
  10.250   1.5044   0.03132   
  10.500   1.5042   0.03279   
  10.750   1.5016   0.03453  
  11.000   1.5001   0.03643  
  11.250   1.4934   0.03885   
  11.500   1.4808   0.04198   
  11.750   1.4675   0.04548   
  12.000   1.4534   0.04930   
  12.250   1.4383   0.05347   
  12.500   1.4209   0.05811   
  12.750   1.4057   0.06279   
  13.000   1.3940   0.06728   
  13.250   1.3817   0.07204  
  13.500   1.3721   0.07661  
  13.750   1.3617   0.08142   
  14.000   1.3503   0.08647   
  14.250   1.3435   0.09094  
  14.500   1.3374   0.09534   
  14.750   1.3325   0.09956   
  15.000   1.3289   0.10351   
  15.250   1.3291   0.10658  
  15.500   1.3368   0.10835   
  15.750   1.3479   0.10949  
  16.000   1.3611   0.11035
  16.250   1.3739   0.11147  
  16.500   1.3842   0.11325  
  16.750   1.3897   0.11606 
  17.000   1.3905   0.11977 
  17.250   1.3872   0.12429 
  17.500   1.3799   0.12962  
  17.750   1.3685   0.13595   
  18.000   1.3527   0.14345   
  18.250   1.3336   0.15213  
  18.500   1.3124   0.16184  
  18.750   1.2902   0.17249  
  19.000   1.2699   0.18338  

